Actual Item Name & Use,Quantity,Order,Cost,Notes,Link to Buy,Status,Order date
22 AWG Wire,1,22awg Silicone Electrical Wire Cable 6 Colors (10ft Each) 22 Gauge Hookup Wires kit Stranded Tinned Copper Wire Flexible and Soft,$8.98,,https://www.amazon.com/Electrical-Gauge-Silicone-Cable-Black/dp/B0746HG158/ref=sr_1_17?crid=1TLAQ1FE1E9UJ&dib=eyJ2IjoiMSJ9.pyl_5iNHOLas3h4fTLyq3ptcaen0H19fqStwe3jN_-Lkk6ZuUwe1nSgojOlEf2Qw-tZbNN6sDRSJVMNIeeshOkHBHr5oW1QADB0kr4yS2xj47Znjt9_Xk2DYurntQ4ztnaI-7s2Zpy2jnwvsQdppBVu6ggUt9N33nzIovA1__chHq5FQ0Apt-Sdx-lpnnT0OuWI10XU7Sz4VhJTtx3sx0kmxd4cErrKY-_PYvIZzZCqRQ69wtD6B0ShksGWvWZM7s6Tqc-kdndNEhOmdhqEOTDRJ6lF_74H1YwXbmILCK0o.CKzEWAde0ZKLLJGwiscanEUdFUtN2LvgcJuKoCMr8hU&dib_tag=se&keywords=22%2Bawg%2Bwire&qid=1750415326&s=industrial&sprefix=22%2Bawg%2Bwire%2Cindustrial%2C193&sr=1-17&th=1,Approved,
Buttons,2,D6C90 F2 LFS,$2.74,,https://www.digikey.com/en/products/detail/c-k/D6C90-F2-LFS/1466345,Approved,
Shipping for DigiKey,1,N/A,$20.00,,N/A,Approved,
Shipping for PETG 3D Print Parts,1,N/A,$10.00,,N/A,Approved,
"DC Barrel Jack (Female, PCB Mount)",1,PJ-202AH,$1.50,,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/PJ-202AH/408450,Approved,
PCB,1,PCB,$15.28,"Projected Cost, May Increase w/ Shipping",JLCPCB,,
,,,,,,,
,,,,,,,
,,Subtotal,$0.00,,,,
,,,$119.32,,,,
